group_col,group,metric,mean,ci_lower,ci_upper
gender_true,female,overall_score,44.9048,42.2118,47.6678
gender_true,male,overall_score,46.5881,43.9376,49.2694
gender_true,female,leadership_score,9.2405,8.6928,9.7763
gender_true,male,leadership_score,9.419,8.8309,9.9762
race_true,hispanic,overall_score,46.1488,41.6656,50.6683
race_true,asian,overall_score,45.3988,41.2185,49.3879
race_true,white,overall_score,43.2381,38.9521,47.4411
race_true,native,overall_score,47.7262,43.4519,51.7083
race_true,black,overall_score,46.2202,41.7734,50.3452
race_true,hispanic,leadership_score,9.2798,8.4048,10.1429
race_true,asian,leadership_score,9.256,8.4583,10.1013
race_true,white,leadership_score,8.6488,7.7975,9.542
race_true,native,leadership_score,9.506,8.5655,10.3573
race_true,black,leadership_score,9.9583,9.125,10.768
