term,coefficient,p_value,conf_low,conf_high,model_type,dependent_variable
Intercept,36.230973,5e-06,20.686227,51.775719,ols,overall_score
C(gender_true)[T.male],1.329114,0.497096,-2.510967,5.169194,ols,overall_score
C(race_true)[T.black],0.082673,0.978631,-5.973944,6.139291,ols,overall_score
C(race_true)[T.hispanic],0.795638,0.795831,-5.238067,6.829342,ols,overall_score
C(race_true)[T.native],1.64004,0.594524,-4.405271,7.685351,ols,overall_score
C(race_true)[T.white],-2.169122,0.481037,-8.208687,3.870443,ols,overall_score
C(wording_condition)[T.strong_leadership],-0.172736,0.943259,-4.934929,4.589457,ols,overall_score
C(wording_condition)[T.strong_technical],7.622617,0.003517,2.510848,12.734387,ols,overall_score
C(qualification_tier)[T.medium],2.65045,0.743275,-13.22839,18.52929,ols,overall_score
C(qualification_tier)[T.senior],8.11021,0.286651,-6.820558,23.040977,ols,overall_score
