term,coefficient,p_value,conf_low,conf_high,model_type,dependent_variable
Intercept,-1.234775,0.068396,-2.562762,0.093213,logit,hire_decision
C(gender_true)[T.male],0.049265,0.738301,-0.23974,0.338269,logit,hire_decision
C(race_true)[T.black],0.013775,0.952624,-0.440665,0.468216,logit,hire_decision
C(race_true)[T.hispanic],-0.023958,0.91757,-0.477672,0.429756,logit,hire_decision
C(race_true)[T.native],0.133112,0.561508,-0.316239,0.582464,logit,hire_decision
C(race_true)[T.white],-0.175391,0.454788,-0.635299,0.284516,logit,hire_decision
C(wording_condition)[T.strong_leadership],-0.226033,0.222912,-0.589512,0.137446,logit,hire_decision
C(wording_condition)[T.strong_technical],-0.089964,0.646633,-0.47458,0.294653,logit,hire_decision
C(qualification_tier)[T.medium],0.390513,0.572532,-0.965779,1.746805,logit,hire_decision
C(qualification_tier)[T.senior],0.645072,0.326438,-0.643321,1.933464,logit,hire_decision
